,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country
2039,80206395,TV Show,Trump: An American Dream,United Kingdom,"March 30, 2018",2018,TV-14,1 Season,Docuseries,"Friends, associates and critics reveal the truly American story of Donald Trump, the brash businessman who defied the odds to become U.S. president.",2018,March,Teens,United Kingdom
2040,80018336,Movie,Backcountry,Canada,"March 30, 2017",2014,NR,92 min,"Horror Movies, Independent Movies, Thrillers",A weekend hike for urbanites Alex and Jenn takes a dangerous turn when they become lost deep in the remote territory of a menacing bear.,2017,March,Adults,Canada
2041,80180509,Movie,Colkatay Columbus,India,"March 30, 2017",2016,TV-14,118 min,"Comedies, Dramas, Independent Movies","When Christopher Columbus mysteriously appears in modern-day Kolkata, India, two struggling young men look to him for advice on achieving success.",2017,March,Teens,India
2042,80145255,Movie,Officer Downe,United States,"March 30, 2017",2016,R,91 min,Action & Adventure,Fallen Los Angeles police officer Terrence Downe finds new life as a secret weapon: a scientifically altered super-cop with unlimited lives.,2017,March,Adults,United States
2043,70230147,Movie,Exit Strategy,United States,"March 3, 2019",2012,NR,79 min,"Comedies, Romantic Movies","When James's living situation turns sour, he has little choice but to move in with his new girlfriend – a decision he almost immediately regrets.",2019,March,Adults,United States
2044,80105067,Movie,Middle School: The Worst Years of My Life,"United States, Cambodia","March 3, 2019",2016,PG,92 min,"Children & Family Movies, Comedies","At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.",2019,March,Older Kids,United States
2045,80123950,TV Show,I Am Me!,Mexico,"March 3, 2017",2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Aspiring hip-hop star Francisco builds a name for himself as a musical artist while his conscience helps him through family drama and discrimination.,2017,March,Teens,Mexico
2046,81033429,Movie,15-Aug,India,"March 29, 2019",2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019,March,Teens,India
2047,80188579,Movie,Bayonet,"Mexico, Finland","March 29, 2019",2019,TV-MA,102 min,"Dramas, International Movies, Sports Movies","Alone in Finland, a retired Mexican boxer lives in desolation under the weight of an agonizing past, until he gets a shot at redemption in the ring.",2019,March,Adults,Mexico
2048,80992232,TV Show,Bitter Daisies,Spain,"March 29, 2019",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.",2019,March,Adults,Spain
2049,80189898,TV Show,Osmosis,France,"March 29, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.",2019,March,Adults,France
2050,80145533,Movie,The Bleeder,United States,"March 29, 2019",2016,R,98 min,"Dramas, Sports Movies","Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa.",2019,March,Adults,United States
2051,80200571,Movie,The Highwaymen,United States,"March 29, 2019",2019,R,132 min,Dramas,Two steely former Texas Rangers are tasked with tracking and killing infamous criminals Bonnie and Clyde in this crime drama based on real events.,2019,March,Adults,United States
2052,80999977,Movie,The Legend of Cocaine Island,United States,"March 29, 2019",2019,TV-MA,87 min,Documentaries,An urban legend about a duffel bag of cocaine buried in the Caribbean leads a misfit band to hatch a nutball plan to find it in this comic documentary.,2019,March,Adults,United States
2053,81049739,TV Show,The Terminal,United States,"March 29, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","Social pressure, a complicated past and a clash of values beset the life of a businessman and his family.",2019,March,Teens,United States
2054,80223793,TV Show,Traitors,United Kingdom,"March 29, 2019",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government.",2019,March,Adults,United Kingdom
2055,70129463,Movie,Tucker and Dale vs. Evil,"Canada, United States, India, United Kingdom","March 29, 2019",2010,R,89 min,"Comedies, Horror Movies, Independent Movies","Expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers.",2019,March,Adults,Canada
2056,80170767,Movie,Wolves,United States,"March 29, 2019",2016,R,109 min,"Dramas, Independent Movies, Sports Movies",A promising high school basketball player has his eye on an Ivy League scholarship. But his father's secret addictions could ruin everything.,2019,March,Adults,United States
2057,81012998,TV Show,All American,United States,"March 28, 2019",2019,TV-14,1 Season,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,2019,March,Teens,United States
2058,80127927,TV Show,Ollie & Moon,France,"March 28, 2018",2018,TV-Y,1 Season,Kids' TV,"Two quirky cats, Ollie and Moon, and their friend Stanley the snail travel the world, solving everyday problems and learning about different cultures.",2018,March,Kids,France
2059,80134826,Movie,Jo Koy: Live from Seattle,United States,"March 28, 2017",2017,TV-MA,63 min,Stand-Up Comedy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.",2017,March,Adults,United States
2060,81047902,Movie,Danur: I Can See Ghosts,Indonesia,"March 27, 2019",2017,TV-14,75 min,"Horror Movies, International Movies","Adapted from a best-selling novel, this horror film shows Risa befriending ghosts until an evil spirit tries to take her sister to the other side.",2019,March,Teens,Indonesia
2061,81047897,Movie,Verses of Love,Indonesia,"March 27, 2019",2008,TV-14,126 min,"Dramas, International Movies, Romantic Movies","Polygamy, piety and personal principles collide for a charming and congenial young university student struggling in a four-way love triangle.",2019,March,Teens,Indonesia
2062,80216988,Movie,Ég man þig,Iceland,"March 27, 2018",2017,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",2018,March,Adults,Iceland
2063,80213803,TV Show,James Acaster: Repertoire,United Kingdom,"March 27, 2018",2018,TV-14,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows","Offbeat comic James Acaster covers the strange, the mundane and everything in between in this collection of four wide-ranging stand-up specials.",2018,March,Teens,United Kingdom
2064,80175623,Movie,Blood Money,India,"March 27, 2017",2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.",2017,March,Teens,India
2065,81002880,Movie,Nate Bargatze: The Tennessee Kid,United States,"March 26, 2019",2019,TV-PG,61 min,Stand-Up Comedy,"Comic Nate Bargatze touches on air travel, cheap weddings, college football, chocolate milk and the perils of ordering coffee in this stand-up special.",2019,March,Older Kids,United States
2066,80222896,Movie,Birdshot,"Philippines, Qatar","March 26, 2018",2016,TV-MA,115 min,"Dramas, International Movies, Thrillers","A sheltered farm girl inadvertently shoots an endangered Philippine eagle, setting off a police investigation that exposes violence and corruption.",2018,March,Adults,Philippines
2067,81038046,Movie,Sei,India,"March 25, 2019",2018,TV-14,126 min,"Action & Adventure, Comedies, Dramas","An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",2019,March,Teens,India
2068,81049479,TV Show,The Eagle of El-Se'eed,United States,"March 25, 2019",2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","A police officer and a drug lord become embroiled in a cycle of revenge, each man bent on taking the other down.",2019,March,Teens,United States
2069,80101096,Movie,Kung Fu Panda: Secrets of the Scroll,United States,"March 25, 2016",2016,TV-PG,23 min,"Children & Family Movies, Comedies","When a twist of fate brings five unlikely animals together, they find that combining their unique kung fu styles as a team makes the perfect weapon!",2016,March,Older Kids,United States
2070,80202809,Movie,Superlopez,Spain,"March 24, 2019",2018,TV-14,108 min,"Action & Adventure, Comedies, International Movies","In this adaptation of the comic strip, Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón.",2019,March,Teens,Spain
2071,80020132,Movie,Monster High: Haunted,United States,"March 24, 2018",2015,TV-Y7,76 min,Children & Family Movies,"Hearing that their old school is being haunted, Spectra Vondergeist and her pals head back to Monster High to get to the bottom of the scary spookery.",2018,March,Older Kids,United States
2072,80206758,Movie,Red Trees,United Kingdom,"March 24, 2018",2017,TV-PG,80 min,"Documentaries, International Movies","A documentarian details her Jewish family's escape from Nazi-occupied Prague to refuge in Brazil, where her father built a life as an architect.",2018,March,Older Kids,United Kingdom
2073,80162210,Movie,Felipe Neto: My Life Makes No Sense,Brazil,"March 24, 2017",2017,TV-MA,91 min,Stand-Up Comedy,"YouTube sensation Felipe Neto brings the stories from his autobiographical book ""Não Faz Sentido!"" to the stage in this comedy special.",2017,March,Adults,Brazil
2074,80126485,Movie,The C Word,United States,"March 24, 2017",2016,TV-14,93 min,Documentaries,"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease.",2017,March,Teens,United States
2075,80082242,Movie,The Most Hated Woman in America,United States,"March 24, 2017",2017,TV-MA,93 min,Dramas,"This drama follows the controversial life of outspoken atheist Madalyn Murray O'Hair, from her landmark court battles to her infamous abduction.",2017,March,Adults,United States
2076,70251816,TV Show,"Drugs, Inc.",United States,"March 23, 2019",2015,TV-MA,1 Season,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",2019,March,Adults,United States
2077,70202151,Movie,I Don't Know How She Does It,United States,"March 23, 2019",2011,PG-13,89 min,Comedies,"In this affable yuppie comedy, Kate Reddy is a successful executive, wife and mom whose personal and professional lives hang in precarious balance.",2019,March,Teens,United States
